GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,index
48r,180.20504794983165,-1.250361193990598,5000.0,0.021,,3.337933520440603,6.859347403640317,12.844182102842767,88.08081303830446,88.0458485680862,16.12619361059791,16.628145491565864,7.087098543065036,7.341595174726804,0.5225461852722759,-1.8427557230209293,-0.0963666668487297,-0.0658223220803561,0.2723161578178406,2.9261438572205667,0.0455736689575277,0.0411160343573738,0.0051216389244558,0.0,0.0366301563276518,0.089141921094354,0.2200478950532554,0.1948271275410925,6.007284632048044,1.116597813063648,319.5625464316838,319.8122934558168,0.0691461118391596,2.463883041641196,0.0,0.0,0.27,0.3462954865095246,1.6909671,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1683.0,30.8,54.6,0.0,3.0,0.01791,0.0017699999734759,10.1,0.0,3.0,50.0,4.7,10.1,34.3,0.0,0.0,0.0,0.0,48
916r,158.66360584310024,4.822285924699704,5000.0,0.1,,2.7223073442835046,6.4381036954511695,14.517981565571326,106.40108904965876,106.245934728463,18.805858727124125,19.19999889997228,6.79096228603312,6.942851455071425,0.5856641078680346,-2.0791980351426664,0.3799215723006393,-0.0362010600954764,0.2456697672605514,3.634845429029059,0.0268840517375778,0.0063294053845687,0.0114942528735632,0.0,0.0253294968502737,0.1063713713031337,0.2823838972871739,0.2144755456196782,5.631434314693333,1.820846846212525,319.00264826051256,319.9962093844793,0.140715677685178,2.6803034238533376,0.0,0.0,0.27,0.3462954865095246,1.3057331,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1442.0,18.4,78.5,0.0,3.0,0.02954,0.004240000154823,7.0,0.0,3.0,50.0,3.8,7.0,15.4,0.0,0.0,0.0,0.0,916
336r,218.3816868078644,2.42235080002586,5000.0,0.0283,,5.783356044149394,11.65454795076629,22.200498954797485,320.86295938451025,322.0255244345682,27.54619737942606,36.39429300498495,12.28120527341887,16.11725315304547,0.5212958893423656,-1.7612547483349947,-0.1590358071591389,-0.0557314795696223,0.3128211200237274,2.9209140272393075,0.0860021970134015,0.0326528823267991,0.0049782202862476,0.0052479014036484,0.007447924880263,0.1116242808641378,0.1997794359031223,0.2081042420483083,15.0852111099017,1.0277731105001375,319.89176527793734,320.2510670115001,0.4629451555038469,2.7922312841064407,0.0,0.0,0.27,0.3462954865095246,1.4265066,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,5903.0,21.9,269.3,0.0,3.0,0.01444,0.0013200000394135,11.0,0.0,3.0,50.0,4.6,11.0,48.3,0.0,0.0,0.0,0.0,336
1101r,185.6304079632024,9.082074915284275,5000.0,0.0662,,2.3148205691173733,4.512907732174626,8.092190829639785,191.4636679463949,191.36936584492528,10.042811886444586,11.26183558227284,4.836675797998181,5.455609606705801,0.4993155953456538,-1.696841260556968,-0.312476809473035,-0.0685384958252213,0.6547901034355164,2.7177439147591635,0.0246563747598534,0.0772261190797508,0.0,0.0,0.0068784202333956,0.0333830926400854,0.1699481703570455,0.9067837185445592,4.563592242380909,1.449409503940611,320.05051417684354,319.9991116164731,0.2992186332653207,2.483533945682977,0.0,0.0,0.27,0.3462954865095246,1.2633486,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1150.0,17.2,66.9,0.0,3.0,0.03889,0.0040799998678267,9.5,0.0,3.0,50.0,4.2,9.5,39.4,0.0,0.0,0.0,0.0,1101
669r,13.509773307607976,-9.4880776001624,5000.0,0.0785,,4.18563341563802,7.742809748411287,12.86449007867404,113.4234602817022,113.17147570654836,16.355400164476684,19.64329428114912,7.821489279352461,9.907230549290404,0.435368459312108,-1.614189602362408,-0.6862927319679164,-0.1203575800093878,0.3397637903690338,2.438156934469189,0.0895901736056367,0.0385360941950455,0.0,0.0,0.0734276514089051,0.0530333520236642,0.2003131869272871,0.2292608779375999,9.110605342359872,0.5353251385002168,319.85569997508503,321.0191444992174,0.3991761893610643,2.1133397403392147,0.0,0.0,0.27,0.3462954865095246,1.1980432,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1107.0,15.5,71.6,0.0,3.0,0.05021,0.0038600000552833,13.0,0.0,3.0,50.0,4.7,13.0,43.0,0.0,0.0,0.0,0.0,669
1193r,36.80285544959664,-0.0501199126974501,5000.0,0.026,,7.648647412217604,18.80947002785942,26.515950249784,76.30024577146196,76.20297962001527,33.318607508148496,46.62818112398146,18.967749424942333,23.037698507529985,0.6506961630253639,-1.380436008014748,0.2175881605297718,0.1253085962810602,0.1406630724668502,2.699612771273394,0.0014802796102696,0.1086679817472199,0.6935483870967742,0.6698409365165748,0.175303758246014,0.7288501537340258,0.3489379998648684,0.1362743875182333,14.417224608118834,0.7429485350870475,325.1136295497252,320.05361408009884,0.5274895405791649,0.5263706078324969,1.0,0.0,0.27,0.3462954865095246,1.2043236,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,3203.0,15.6,205.0,0.0,3.0,0.00922,0.0008099999977275,11.4,0.0,3.0,50.0,5.0,11.4,40.4,0.0,0.0,0.0,0.0,1193
1047r,187.0841925270194,-0.7904450337556335,5000.0,0.1553,,2.567141547986955,5.555907796572616,10.565279257248038,130.23463813392175,129.98224888161144,13.202657237321596,16.702613472850675,6.538610040657306,8.691091897570862,0.5169782084531004,-1.8892088689851696,-0.0917361219504302,-0.0777916064203692,0.4133881330490112,3.0721558250970507,0.0181407341540194,-0.0011163614414343,0.0,0.0,0.028415133100135,0.1899134512770151,0.4192134257210244,0.3232635320712962,6.465774479260699,1.562726916259935,319.74713047392027,320.2085232574351,0.340677400119816,0.2601797463162391,0.0,0.0,0.27,0.3462954865095246,1.091339,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2121.0,12.8,165.3,0.0,3.0,0.01414,0.0015500000445172,9.1,0.0,3.0,50.0,4.6,9.1,37.6,0.0,0.0,0.0,0.0,1047
31r,213.9483059947116,4.160057613167015,5000.0,0.0192,,7.421931794875001,15.4099103604283,28.01769794387216,103.46765589403527,105.66675485812758,34.75802624705743,50.19357631623002,16.91345884989686,26.62913925028426,0.4903741221914592,-1.44690304647153,-0.5299442839475068,-0.0426491424899981,0.1846735030412674,2.88457744941004,0.1025052725765421,0.0463288193335684,0.0384615384615384,0.1064682632835996,0.0104505461624395,0.1244919583886483,0.290440531938911,0.0739440594167847,23.690602371984557,0.5667144019796064,321.12536433921167,320.4241756206181,0.7765797685010483,0.4977889300493615,0.0,0.0,0.27,0.3462954865095246,1.2443564,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1800.0,16.7,107.9,0.0,3.0,0.03648,0.004759999923408,7.7,0.0,3.0,50.0,4.0,7.7,16.3,0.0,0.0,0.0,0.0,31
43r,152.14959333377055,8.06926113233535,5000.0,0.0181,,4.186579787978033,9.00632224871355,18.1055697398705,75.38722774306656,74.44608585026319,23.52342487473453,33.13660246841942,9.17896246731214,14.937664703718784,0.5507227887122067,-1.7923148175835464,0.008151972710821,-0.0309161988190283,0.2268716543912887,3.179764115880773,-0.1011297814853452,-0.0862691171339713,0.0756578947368421,0.060006467603734,0.0420686077723476,-0.179251254827956,0.1763182416201044,0.1410619471558573,13.643145051043795,0.7157420619466024,320.6352506165413,320.0641111756699,0.7436175133797056,0.2776924414455442,0.0,0.0,0.27,0.3462954865095246,1.2352839,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,887.0,16.4,54.0,0.0,3.0,0.04637,0.0060700001195073,7.6,0.0,3.0,50.0,4.0,7.6,19.3,0.0,0.0,0.0,0.0,43
541r,9.829014526913468,-0.4563189269855571,5000.0,0.0454,,7.316955531216237,15.230313839603548,25.809202864276006,399.7645892220326,399.3525398659599,32.82753751338906,37.43418739259203,15.409467221718348,17.570211496789447,0.526703331366399,-1.8012975894847687,-0.1045192802233803,-0.0559440668856478,0.3067825138568878,2.737220878186206,0.1584403841295332,0.0509776541127198,0.0126689189189189,0.0256831439434016,0.0180486517755176,0.165800169733249,0.2000259101360681,0.2036458345476972,16.298547789549126,0.6292481174974465,320.27399246396726,319.6525735254195,0.2159709040221581,1.5393343949182807,0.0,0.0,0.27,0.3462954865095246,1.2212518,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,5142.0,16.1,320.0,0.0,3.0,0.03339,0.0020699999295175,16.1,0.0,3.0,50.0,5.4,16.1,49.2,0.0,0.0,0.0,0.0,541
